Date,Open,High,Low,Close,Volume
05/16/2018,"28.00","29.25","28.00","28.50","5,022,200"
05/15/2018,"27.50","28.25","27.00","27.25","22,976,600"
05/14/2018,"28.00","28.00","27.00","27.25","6,003,400"
05/11/2018,"28.00","28.00","27.50","27.75","6,723,800"
05/10/2018,"29.00","29.25","27.75","28.00","14,074,900"
05/09/2018,"28.50","29.50","28.50","29.00","17,881,600"
05/08/2018,"28.50","28.50","28.25","28.25","9,459,700"
05/07/2018,"28.50","29.00","28.25","28.50","16,076,800"
05/04/2018,"28.00","29.00","28.00","28.50","37,792,801"
05/03/2018,"27.50","27.75","26.75","27.00","27,096,801"
05/02/2018,"28.25","28.25","27.00","27.25","18,325,100"
04/30/2018,"28.50","28.50","28.25","28.25","9,959,700"
04/27/2018,"28.50","28.50","28.25","28.25","8,868,000"
04/26/2018,"28.75","28.75","28.00","28.25","11,003,100"
04/25/2018,"28.75","29.00","28.25","28.50","22,791,100"
04/24/2018,"28.50","29.00","28.00","28.25","17,259,199"
04/23/2018,"29.00","29.75","28.25","28.50","12,822,000"
04/20/2018,"29.25","29.50","28.75","29.00","15,320,800"
04/19/2018,"29.50","29.75","29.00","29.25","22,802,900"
04/18/2018,"29.75","30.00","29.25","29.50","20,432,301"
04/17/2018,"30.50","30.50","29.50","29.75","11,811,500"
04/16/2018,"31.25","31.25","30.25","30.50","6,118,800"
04/13/2018,"32.00","32.00","31.00","31.00","2,960,200"
04/12/2018,"32.00","32.00","31.25","31.50","4,496,500"
04/11/2018,"31.75","32.50","31.75","32.00","6,105,600"
04/10/2018,"31.75","32.25","31.75","31.75","2,143,000"
04/09/2018,"32.25","32.25","31.50","31.75","1,947,400"
04/06/2018,"32.75","33.00","32.00","32.25","5,827,300"
04/05/2018,"32.50","33.50","32.50","32.75","8,416,100"
04/04/2018,"31.75","32.75","31.25","32.00","13,500,100"
04/03/2018,"31.00","31.75","31.00","31.25","9,281,300"
03/29/2018,"31.00","31.50","30.50","31.00","11,679,900"
03/28/2018,"31.00","31.25","30.50","30.75","4,346,300"
03/27/2018,"31.50","31.75","31.00","31.25","4,717,400"
03/26/2018,"31.75","31.75","31.25","31.50","4,327,200"
03/23/2018,"32.00","32.25","31.75","31.75","8,328,200"
03/22/2018,"31.00","32.25","31.00","31.75","13,478,700"
03/21/2018,"31.00","31.75","31.00","31.25","17,990,100"
03/20/2018,"30.50","31.25","30.50","30.75","5,720,600"
03/19/2018,"30.00","30.75","29.50","30.00","11,055,500"
03/16/2018,"29.50","29.75","29.50","29.50","4,083,500"
03/15/2018,"30.00","30.00","29.50","29.50","9,961,100"
03/14/2018,"29.75","30.00","29.50","29.75","5,992,300"
03/13/2018,"29.50","30.00","29.50","29.75","4,671,400"
03/12/2018,"29.50","29.75","29.25","29.25","6,154,100"
03/09/2018,"29.50","29.75","29.00","29.25","18,672,600"
03/08/2018,"29.50","29.75","29.25","29.50","10,433,200"
03/07/2018,"29.25","29.75","29.25","29.50","5,825,300"
03/06/2018,"29.25","29.75","29.25","29.25","7,543,900"
03/05/2018,"29.75","29.75","29.00","29.25","4,359,200"
03/02/2018,"30.50","30.50","29.00","29.25","6,130,600"
03/01/2018,"29.50","30.00","29.25","29.50","15,254,000"
02/28/2018,"29.75","30.00","29.50","29.75","10,937,400"
02/27/2018,"29.50","30.00","29.25","29.50","7,390,600"
02/26/2018,"29.50","29.75","29.25","29.50","14,512,400"
02/23/2018,"29.50","30.00","29.25","29.50","4,996,800"
02/22/2018,"29.50","30.00","29.50","29.50","6,155,400"
02/21/2018,"30.00","30.25","29.00","29.75","15,108,100"
02/20/2018,"29.50","30.50","29.25","29.75","8,747,000"
02/19/2018,"30.00","30.00","29.25","29.25","4,489,000"
02/16/2018,"29.00","29.75","29.00","29.25","4,729,900"
02/15/2018,"28.75","29.25","28.75","28.75","2,708,200"
02/14/2018,"28.75","29.00","28.75","28.75","3,085,100"
02/13/2018,"28.50","29.00","28.25","28.50","6,864,100"
02/12/2018,"30.00","30.00","28.00","28.25","1,501,000"
02/09/2018,"29.50","29.50","29.00","29.00","12,834,800"
02/08/2018,"28.50","29.50","28.50","29.25","14,174,000"
02/07/2018,"29.25","29.25","28.00","28.50","20,681,500"
02/06/2018,"29.75","30.00","28.75","29.50","42,110,500"
02/05/2018,"29.75","30.00","29.75","29.75","4,090,200"
02/02/2018,"30.00","30.25","29.75","29.75","3,027,200"
02/01/2018,"29.75","30.00","29.50","29.75","6,148,300"
01/31/2018,"29.75","30.00","29.50","29.50","8,892,600"
01/30/2018,"30.00","30.00","29.25","29.75","18,003,199"
01/29/2018,"29.75","30.00","29.50","29.75","3,950,700"
01/26/2018,"29.50","30.50","29.50","30.00","26,174,301"
01/25/2018,"29.50","30.00","29.50","29.75","6,593,600"
01/24/2018,"29.50","29.75","29.50","29.50","6,560,400"
01/23/2018,"29.50","29.75","29.25","29.50","16,964,400"
01/22/2018,"29.50","29.75","29.00","29.25","8,827,800"
01/19/2018,"29.25","29.75","29.25","29.50","6,590,000"
01/18/2018,"29.50","29.50","29.00","29.25","9,393,700"
01/17/2018,"28.50","29.50","28.50","29.00","10,302,400"
01/16/2018,"29.00","29.50","28.50","29.00","7,295,600"
01/15/2018,"28.50","29.25","28.25","28.75","3,751,000"
01/12/2018,"28.00","28.50","27.75","28.25","2,796,700"
