Date,Open,High,Low,Close,Volume
05/15/2017,"20.50","20.50","20.25","20.25","2,144,600"
05/12/2017,"20.50","20.75","20.25","20.25","6,878,700"
05/11/2017,"20.50","20.75","19.85","20.50","18,459,400"
05/10/2017,"22.00","22.00","19.85","20.00","2,236,700"
05/09/2017,"20.50","20.75","19.90","20.25","10,196,000"
05/08/2017,"19.80","20.75","19.80","20.50","22,920,699"
05/05/2017,"19.70","20.00","19.70","19.75","11,863,400"
05/04/2017,"19.60","19.95","19.35","19.65","9,377,100"
05/03/2017,"19.60","19.80","19.50","19.60","15,115,900"
05/02/2017,"19.20","19.80","19.20","19.55","7,226,100"
04/28/2017,"19.00","19.60","19.00","19.25","1,566,700"
04/27/2017,"19.00","19.10","18.95","19.00","16,118,400"
04/26/2017,"18.95","19.00","18.85","18.95","6,202,300"
04/25/2017,"19.10","19.15","18.70","18.95","12,876,100"
04/24/2017,"19.15","19.20","19.05","19.10","2,822,400"
04/21/2017,"19.15","19.20","19.10","19.15","4,403,600"
04/20/2017,"19.20","19.25","19.00","19.15","8,635,600"
04/19/2017,"19.20","19.30","19.05","19.20","12,731,200"
04/18/2017,"19.65","19.70","19.00","19.15","1,824,600"
04/13/2017,"19.50","19.75","19.50","19.60","76,384,703"
04/12/2017,"19.40","19.65","19.25","19.45","5,074,600"
04/11/2017,"19.80","19.80","19.15","19.25","5,620,200"
04/10/2017,"18.65","19.75","18.65","19.15","2,010,800"
04/07/2017,"18.60","19.75","18.40","18.65","4,884,200"
04/06/2017,"19.00","19.00","18.30","18.60","591,200"
04/05/2017,"18.35","19.00","18.30","18.30","9,470,400"
04/04/2017,"18.50","19.00","18.00","18.30","26,217,199"
04/03/2017,"18.20","19.00","18.00","18.45","11,256,700"
03/31/2017,"18.00","18.30","17.80","18.00","5,417,100"
03/30/2017,"18.00","18.05","17.90","17.95","997,100"
03/29/2017,"18.30","18.40","17.75","18.05","13,298,400"
03/28/2017,"19.05","19.05","18.30","18.60","14,747,100"
03/27/2017,"18.45","18.95","18.45","18.70","13,249,100"
03/24/2017,"18.35","18.70","18.35","18.45","18,872,801"
03/23/2017,"18.15","18.60","18.15","18.35","9,234,600"
03/22/2017,"18.20","18.35","18.00","18.10","11,702,000"
03/21/2017,"18.10","18.25","18.00","18.10","511,900"
03/20/2017,"17.75","18.10","17.75","18.00","12,692,800"
03/17/2017,"17.65","18.05","17.60","17.95","6,635,600"
03/16/2017,"19.00","19.00","17.50","17.55","9,616,200"
03/15/2017,"18.25","18.25","17.50","17.85","7,041,100"
03/14/2017,"17.70","18.90","17.50","18.25","38,120,801"
03/13/2017,"17.05","18.00","17.00","17.35","50,600,301"
03/10/2017,"16.80","17.60","16.30","16.90","16,120,000"
