Date,Open,High,Low,Close,Volume
05/19/2023,"15.50","15.50","14.80","15.00","2,100,500"
05/18/2023,"16.00","16.50","14.45","14.85","7,282,500"
05/17/2023,"15.70","15.70","15.20","15.50","18,171,801"
05/16/2023,"14.10","14.30","14.10","14.30","1,219,300"
05/15/2023,"13.25","14.50","12.70","13.00","22,757,400"
05/12/2023,"14.75","14.75","13.25","13.25","41,634,500"
05/11/2023,"15.70","15.70","14.00","14.70","18,694,699"
05/10/2023,"15.70","15.70","14.90","15.30","6,690,300"
05/09/2023,"16.00","16.00","15.25","15.60","3,955,000"
05/08/2023,"16.00","16.00","15.70","15.95","573,100"
05/05/2023,"16.20","16.20","15.65","15.75","6,391,900"
05/04/2023,"16.50","16.50","15.95","16.25","16,373,300"
05/03/2023,"16.70","16.70","15.95","16.05","12,831,200"
05/02/2023,"16.50","16.80","16.45","16.50","937,800"
04/28/2023,"16.80","16.80","16.35","16.50","10,408,200"
04/27/2023,"16.80","16.80","16.60","16.70","616,200"
04/26/2023,"17.00","17.00","16.55","16.70","1,559,200"
04/25/2023,"16.70","17.00","16.45","16.50","13,043,100"
04/24/2023,"16.80","16.80","16.55","16.70","802,400"
04/20/2023,"17.00","17.50","16.40","16.50","8,316,600"
04/19/2023,"17.40","17.40","16.65","16.70","4,827,100"
04/18/2023,"17.10","17.50","16.75","16.85","2,256,100"
04/17/2023,"17.70","17.70","16.80","17.05","3,459,200"
04/14/2023,"18.00","18.00","17.50","17.80","2,620,100"
04/13/2023,"18.35","18.40","17.25","17.85","2,163,500"
04/12/2023,"18.60","19.00","18.20","18.35","2,908,300"
04/11/2023,"18.50","19.30","18.35","18.45","5,052,300"
04/06/2023,"18.75","19.45","18.25","18.60","4,375,000"
04/05/2023,"18.20","18.50","18.00","18.05","24,080,000"
04/04/2023,"19.00","19.00","17.95","18.00","14,295,800"
04/03/2023,"19.00","19.00","18.10","18.15","3,428,600"
03/31/2023,"18.00","18.50","18.00","18.10","1,704,000"
03/30/2023,"18.20","18.50","17.80","18.00","15,186,300"
03/29/2023,"18.85","18.85","18.00","18.50","10,100,200"
03/28/2023,"18.90","18.90","18.40","18.50","5,636,200"
03/27/2023,"18.90","19.00","18.75","18.85","2,344,800"
03/24/2023,"19.40","19.40","18.50","18.90","29,109,400"
03/23/2023,"19.00","19.40","18.55","19.00","8,703,800"
03/22/2023,"19.00","20.00","18.95","19.10","5,680,900"
03/21/2023,"18.00","19.70","18.00","18.95","37,107,398"
03/20/2023,"17.30","17.95","17.00","17.95","15,620,600"
03/17/2023,"17.00","17.25","16.05","16.35","78,127,906"
03/16/2023,"18.00","18.00","16.45","17.00","39,533,699"
03/15/2023,"19.10","19.10","17.75","18.00","16,825,500"
03/14/2023,"19.50","19.85","18.90","19.10","3,589,700"
03/13/2023,"20.65","20.80","19.30","19.60","3,227,200"
03/10/2023,"21.00","21.00","20.00","20.60","1,442,700"
03/09/2023,"21.00","21.50","20.85","20.95","14,873,900"
03/08/2023,"22.00","22.00","20.85","20.95","28,703,400"
03/07/2023,"23.00","23.00","22.00","22.55","2,794,600"
03/06/2023,"23.60","23.60","22.80","23.00","4,611,000"
03/03/2023,"23.60","23.60","23.00","23.45","404,700"
03/02/2023,"23.50","23.60","23.00","23.50","2,949,200"
03/01/2023,"23.50","23.55","23.00","23.35","2,096,800"
02/28/2023,"23.10","23.50","23.05","23.30","3,743,300"
02/27/2023,"23.50","23.50","22.90","23.00","8,930,200"
02/24/2023,"23.50","23.50","23.20","23.35","590,100"
02/23/2023,"23.60","23.60","23.25","23.40","970,100"
02/22/2023,"23.50","23.60","23.20","23.50","11,200,400"
02/21/2023,"23.00","23.60","23.00","23.45","1,567,800"
02/20/2023,"23.50","23.65","23.20","23.50","771,800"
02/17/2023,"23.65","23.70","23.50","23.65","205,400"
02/16/2023,"23.70","23.70","23.50","23.60","15,340,000"
02/15/2023,"23.70","23.70","23.50","23.70","3,483,300"
02/14/2023,"23.85","23.90","23.50","23.70","1,185,600"
02/13/2023,"24.00","24.00","23.55","23.75","390,100"
02/10/2023,"24.00","24.00","23.60","23.90","4,673,200"
02/09/2023,"24.30","24.30","23.95","24.10","1,112,900"
02/08/2023,"24.00","24.30","23.70","24.00","1,128,700"
02/07/2023,"24.45","24.50","23.50","24.00","3,603,800"
02/06/2023,"24.50","24.95","24.25","24.45","9,459,700"
02/03/2023,"24.25","24.80","24.10","24.50","1,746,900"
02/02/2023,"24.10","24.25","23.75","24.00","2,086,300"
02/01/2023,"23.90","24.45","23.05","24.00","7,298,100"
01/31/2023,"23.20","23.60","23.00","23.40","1,940,200"
01/30/2023,"23.65","24.00","23.00","23.05","847,500"
01/27/2023,"23.50","23.50","23.00","23.25","622,600"
01/26/2023,"23.95","23.95","23.00","23.25","1,304,000"
01/25/2023,"23.20","24.95","23.00","23.55","12,920,300"
01/24/2023,"23.00","23.50","22.85","23.05","8,077,900"
01/23/2023,"22.95","23.00","22.50","23.00","2,274,700"
01/20/2023,"21.80","23.65","21.80","22.55","2,449,000"
01/19/2023,"21.00","22.05","21.00","21.75","107,510,305"
01/18/2023,"21.00","21.50","20.50","20.60","57,134,500"
01/17/2023,"21.50","21.50","20.50","21.10","4,056,800"
01/16/2023,"22.00","22.00","21.00","21.55","1,927,800"
01/13/2023,"22.15","22.35","21.50","22.00","2,403,000"
01/12/2023,"22.50","22.50","22.15","22.25","3,003,600"
01/11/2023,"22.85","22.85","22.50","22.65","689,700"
01/10/2023,"23.50","23.50","22.80","22.95","5,557,600"
01/09/2023,"23.50","23.90","23.15","23.35","3,736,500"
01/06/2023,"23.90","23.90","23.40","23.50","2,024,400"
01/05/2023,"24.00","24.00","23.80","23.90","279,300"
01/04/2023,"24.00","24.00","23.80","23.90","1,882,800"
01/03/2023,"24.15","24.40","24.00","24.05","575,900"
12/30/2022,"24.00","24.50","24.00","24.15","13,959,200"
12/29/2022,"24.50","24.50","23.90","24.00","3,306,100"
12/28/2022,"24.70","24.70","24.30","24.45","153,100"
12/23/2022,"24.75","24.80","24.30","24.60","624,400"
12/22/2022,"25.00","25.00","24.50","24.70","1,202,000"
12/21/2022,"25.00","25.00","24.50","24.75","2,791,700"
12/20/2022,"25.00","25.00","24.60","24.80","901,200"
12/19/2022,"25.00","25.00","24.80","24.90","264,400"
12/16/2022,"25.00","25.30","24.75","24.95","4,606,000"
12/15/2022,"25.10","25.10","24.55","24.80","2,925,800"
12/14/2022,"24.65","25.10","24.65","25.00","1,645,100"
12/13/2022,"24.50","25.00","24.50","24.90","876,500"
12/09/2022,"24.20","25.00","24.10","24.30","1,258,500"
12/08/2022,"24.50","24.50","24.05","24.10","6,624,500"
12/07/2022,"24.35","25.00","23.90","24.10","3,595,800"
12/06/2022,"24.00","24.40","23.50","23.85","2,657,200"
12/05/2022,"24.50","24.50","23.00","23.65","3,762,700"
12/02/2022,"24.50","24.50","24.20","24.35","5,275,400"
12/01/2022,"24.80","24.80","24.40","24.50","323,600"
11/30/2022,"24.35","24.70","24.20","24.35","3,735,200"
11/29/2022,"24.70","24.80","24.25","24.45","2,798,100"
11/28/2022,"24.65","25.00","24.45","24.70","678,800"
11/25/2022,"24.80","24.95","24.50","24.65","499,100"
11/24/2022,"24.90","25.00","24.40","24.85","1,180,300"
11/23/2022,"25.35","25.35","24.80","25.00","4,009,000"
11/22/2022,"25.60","25.60","24.85","25.00","1,515,000"
11/21/2022,"25.05","25.60","25.00","25.35","5,305,700"
11/18/2022,"25.50","25.50","25.05","25.25","12,424,900"
11/17/2022,"25.50","25.50","25.05","25.25","5,792,100"
11/16/2022,"25.20","25.50","25.05","25.25","20,419,500"
11/15/2022,"25.40","25.45","25.00","25.05","8,613,200"
11/14/2022,"25.35","26.00","24.90","25.10","2,129,000"
11/11/2022,"25.60","26.00","24.95","25.25","7,744,500"
11/10/2022,"25.40","26.00","25.30","25.50","4,195,400"
11/09/2022,"25.40","25.60","25.05","25.15","1,825,300"
11/08/2022,"25.00","25.50","24.95","25.00","5,075,700"
11/07/2022,"25.00","25.10","24.55","24.95","443,100"
11/04/2022,"24.80","25.00","24.50","24.80","7,198,300"
11/03/2022,"24.70","25.00","24.50","24.80","1,566,400"
11/02/2022,"25.05","25.10","24.40","24.80","2,707,000"
11/01/2022,"25.00","25.10","24.95","25.00","12,664,700"
10/31/2022,"25.50","25.50","24.80","25.10","2,762,400"
10/28/2022,"25.50","25.50","24.60","24.85","5,331,000"
10/27/2022,"25.40","25.50","25.00","25.30","184,300"
10/26/2022,"24.50","25.25","24.50","24.95","3,942,600"
10/25/2022,"24.35","25.00","24.25","24.40","1,719,200"
10/24/2022,"25.50","25.50","24.35","24.55","687,200"
10/21/2022,"25.45","25.50","24.55","24.95","2,163,100"
10/19/2022,"25.50","25.50","25.25","25.45","865,100"
10/18/2022,"25.50","25.50","25.30","25.50","1,322,500"
10/17/2022,"25.50","25.50","25.25","25.50","884,700"
10/14/2022,"25.95","26.00","25.15","25.55","555,000"
10/13/2022,"25.95","26.00","25.25","25.85","3,895,200"
